,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,Number of bugs
117,L8893,ReplayingDecoderByteBuf.java,codec/src/main/java/io/netty/handler/codec/ReplayingDecoderByteBuf.java,L8854,22,0,830,0,2,105,2,0
118,L8894,TextHeaders.java,codec/src/main/java/io/netty/handler/codec/TextHeaders.java,L8854,1,0,74,0,7,105,2,0
119,L8895,TooLongFrameException.java,codec/src/main/java/io/netty/handler/codec/TooLongFrameException.java,L8854,1,0,15,0,7,4057,3,0
120,L8896,UnsupportedMessageTypeException.java,codec/src/main/java/io/netty/handler/codec/UnsupportedMessageTypeException.java,L8854,6,0,35,0,6,1649,3,0
121,L35368,package-info.java,codec/src/main/java/io/netty/handler/codec/xml/package-info.java,L35367,1,0,1,0,1,2,1,0
122,L35369,XmlFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/xml/XmlFrameDecoder.java,L35367,51,0,126,1,4,1649,3,0
123,L35855,Base64.java,codec/src/main/java/io/netty/handler/codec/base64/Base64.java,L35854,30,0,208,1,16,4057,3,0
124,L35856,Base64Decoder.java,codec/src/main/java/io/netty/handler/codec/base64/Base64Decoder.java,L35854,2,0,27,1,18,4057,3,0
125,L35857,Base64Dialect.java,codec/src/main/java/io/netty/handler/codec/base64/Base64Dialect.java,L35854,1,0,133,0,5,72,2,0
126,L35858,Base64Encoder.java,codec/src/main/java/io/netty/handler/codec/base64/Base64Encoder.java,L35854,2,0,31,0,17,4057,3,0
127,L35859,package-info.java,codec/src/main/java/io/netty/handler/codec/base64/package-info.java,L35854,1,0,1,0,6,4057,2,0
128,L36130,ByteArrayDecoder.java,codec/src/main/java/io/netty/handler/codec/bytes/ByteArrayDecoder.java,L36129,1,0,16,2,21,1649,3,0
129,L36131,ByteArrayEncoder.java,codec/src/main/java/io/netty/handler/codec/bytes/ByteArrayEncoder.java,L36129,1,0,17,0,25,4057,3,0
130,L36132,package-info.java,codec/src/main/java/io/netty/handler/codec/bytes/package-info.java,L36129,1,0,1,0,6,4057,2,0
131,L36382,Bzip2BitReader.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2BitReader.java,L36381,13,0,76,0,2,27,1,0
132,L36383,Bzip2BitWriter.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2BitWriter.java,L36381,12,0,60,0,2,27,1,0
133,L36384,Bzip2BlockCompressor.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2BlockCompressor.java,L36381,20,0,148,0,2,27,1,0
134,L36385,Bzip2BlockDecompressor.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2BlockDecompressor.java,L36381,21,0,160,0,3,27,1,0
135,L36386,Bzip2Constants.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2Constants.java,L36381,1,0,23,0,3,27,1,0
136,L36387,Bzip2Decoder.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2Decoder.java,L36381,56,0,237,0,8,4057,2,0
137,L36388,Bzip2DivSufSort.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2DivSufSort.java,L36381,460,0,1880,0,1,27,1,0
138,L36389,Bzip2Encoder.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2Encoder.java,L36381,19,0,168,0,2,27,1,0
139,L36390,Bzip2HuffmanAllocator.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2HuffmanAllocator.java,L36381,26,0,104,0,2,27,1,0
140,L36391,Bzip2HuffmanStageDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2HuffmanStageDecoder.java,L36381,13,0,94,0,3,27,1,0
141,L36392,Bzip2HuffmanStageEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2HuffmanStageEncoder.java,L36381,41,0,207,0,1,27,1,0
142,L36393,Bzip2MoveToFrontTable.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2MoveToFrontTable.java,L36381,3,0,49,0,2,27,1,0
143,L36394,Bzip2MTFAndRLE2StageEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2MTFAndRLE2StageEncoder.java,L36381,13,0,97,0,1,27,1,0
144,L36395,Bzip2Rand.java,codec/src/main/java/io/netty/handler/codec/compression/Bzip2Rand.java,L36381,1,0,41,0,2,27,1,0
145,L36396,CompressionException.java,codec/src/main/java/io/netty/handler/codec/compression/CompressionException.java,L36381,1,0,16,1,6,4057,3,0
146,L36397,Crc32.java,codec/src/main/java/io/netty/handler/codec/compression/Crc32.java,L36381,2,0,82,0,1,27,1,0
147,L36398,Crc32c.java,codec/src/main/java/io/netty/handler/codec/compression/Crc32c.java,L36381,2,0,94,0,2,4057,2,0
148,L36399,DecompressionException.java,codec/src/main/java/io/netty/handler/codec/compression/DecompressionException.java,L36381,1,0,16,0,1,4057,1,0
149,L36400,FastLz.java,codec/src/main/java/io/netty/handler/codec/compression/FastLz.java,L36381,74,0,346,0,2,4057,2,0
150,L36401,FastLzFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/FastLzFrameDecoder.java,L36381,24,0,134,0,3,4057,1,0
151,L36402,FastLzFrameEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/FastLzFrameEncoder.java,L36381,15,0,106,0,1,4057,1,0
152,L36403,JdkZlibDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/JdkZlibDecoder.java,L36381,60,0,304,2,10,105,5,0
153,L36404,JdkZlibEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/JdkZlibEncoder.java,L36381,28,0,209,3,26,105,5,0
154,L36405,JZlibDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/JZlibDecoder.java,L36381,18,0,113,1,11,105,6,0
155,L36406,JZlibEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/JZlibEncoder.java,L36381,31,0,231,3,22,105,6,0
156,L36407,Lz4Constants.java,codec/src/main/java/io/netty/handler/codec/compression/Lz4Constants.java,L36381,1,0,28,0,1,27,1,0
157,L36408,Lz4FrameDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/Lz4FrameDecoder.java,L36381,32,0,179,0,2,4057,2,0
158,L36409,Lz4FrameEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/Lz4FrameEncoder.java,L36381,15,0,194,0,1,27,1,0
159,L36410,LzfDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/LzfDecoder.java,L36381,19,0,128,0,4,4057,2,0
160,L36411,LzfEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/LzfEncoder.java,L36381,6,0,60,0,1,27,1,0
161,L36412,LzmaFrameEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/LzmaFrameEncoder.java,L36381,16,0,107,0,2,27,1,0
162,L36413,package-info.java,codec/src/main/java/io/netty/handler/codec/compression/package-info.java,L36381,1,0,1,0,9,27,3,0
163,L36414,Snappy.java,codec/src/main/java/io/netty/handler/codec/compression/Snappy.java,L36381,73,0,412,2,13,27,3,0
164,L36415,SnappyFrameDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/SnappyFrameDecoder.java,L36381,25,0,135,0,1,4057,1,0
165,L36416,SnappyFrameEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/SnappyFrameEncoder.java,L36381,8,0,70,0,1,4057,1,0
166,L36417,ZlibCodecFactory.java,codec/src/main/java/io/netty/handler/codec/compression/ZlibCodecFactory.java,L36381,25,0,92,0,12,4057,6,0
167,L36418,ZlibDecoder.java,codec/src/main/java/io/netty/handler/codec/compression/ZlibDecoder.java,L36381,1,0,6,0,19,4057,3,0
168,L36419,ZlibEncoder.java,codec/src/main/java/io/netty/handler/codec/compression/ZlibEncoder.java,L36381,1,0,13,0,24,4057,3,0
169,L36420,ZlibUtil.java,codec/src/main/java/io/netty/handler/codec/compression/ZlibUtil.java,L36381,11,0,58,1,12,27,4,0
170,L36421,ZlibWrapper.java,codec/src/main/java/io/netty/handler/codec/compression/ZlibWrapper.java,L36381,1,0,7,0,5,3,3,0
171,L41487,JsonObjectDecoder.java,codec/src/main/java/io/netty/handler/codec/json/JsonObjectDecoder.java,L41486,35,0,132,1,5,1649,3,0
172,L41488,package-info.java,codec/src/main/java/io/netty/handler/codec/json/package-info.java,L41486,1,0,1,0,1,28,1,0
173,L41723,ChannelBufferByteInput.java,codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteInput.java,L41722,4,0,47,0,9,4057,3,0
174,L41724,ChannelBufferByteOutput.java,codec/src/main/java/io/netty/handler/codec/marshalling/ChannelBufferByteOutput.java,L41722,1,0,31,0,16,4057,3,0
175,L41725,CompatibleMarshallingDecoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/CompatibleMarshallingDecoder.java,L41722,8,0,64,2,19,4057,3,0
176,L41726,CompatibleMarshallingEncoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/CompatibleMarshallingEncoder.java,L41722,1,0,22,0,8,1649,3,0
177,L41727,ContextBoundUnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/ContextBoundUnmarshallerProvider.java,L41722,2,0,26,1,6,4057,2,0
178,L41728,DefaultMarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/DefaultMarshallerProvider.java,L41722,1,0,17,0,3,72,2,0
179,L41729,DefaultUnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/DefaultUnmarshallerProvider.java,L41722,1,0,17,0,3,72,2,0
180,L41730,LimitingByteInput.java,codec/src/main/java/io/netty/handler/codec/marshalling/LimitingByteInput.java,L41722,5,0,66,0,10,4057,3,0
181,L41731,MarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/MarshallerProvider.java,L41722,1,0,6,0,3,72,2,0
182,L41732,MarshallingDecoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/MarshallingDecoder.java,L41722,2,0,39,0,12,1649,3,0
183,L41733,MarshallingEncoder.java,codec/src/main/java/io/netty/handler/codec/marshalling/MarshallingEncoder.java,L41722,1,0,26,0,10,1649,3,0
184,L41734,package-info.java,codec/src/main/java/io/netty/handler/codec/marshalling/package-info.java,L41722,1,0,1,0,6,72,3,0
185,L41735,ThreadLocalMarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/ThreadLocalMarshallerProvider.java,L41722,2,0,24,0,5,4057,3,0
186,L41736,ThreadLocalUnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/ThreadLocalUnmarshallerProvider.java,L41722,2,0,24,0,5,4057,3,0
187,L41737,UnmarshallerProvider.java,codec/src/main/java/io/netty/handler/codec/marshalling/UnmarshallerProvider.java,L41722,1,0,6,0,4,72,2,0
