,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,Number of bugs
47,L4533,OAbstractStorageClusterConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OAbstractStorageClusterConfiguration.java,L4532,1,0,27,0,2,0,0,0
48,L4534,OConfigurationChangeCallback.java,core/src/main/java/com/orientechnologies/orient/core/config/OConfigurationChangeCallback.java,L4532,1,0,4,0,2,0,0,0
49,L4535,OContextConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OContextConfiguration.java,L4532,10,0,54,0,8,0,0,0
50,L4536,OGlobalConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,L4532,32,0,360,0,142,0,0,1
51,L4537,OStorageClusterConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterConfiguration.java,L4532,1,0,7,0,3,0,0,0
52,L4538,OStorageClusterHoleConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterHoleConfiguration.java,L4532,1,0,12,0,4,0,0,0
53,L4539,OStorageClusterLocalLHPEOverflowConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterLocalLHPEOverflowConfiguration.java,L4532,1,0,9,0,2,0,0,0
54,L4540,OStorageClusterLocalLHPEStatisticConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageClusterLocalLHPEStatisticConfiguration.java,L4532,1,0,12,0,1,0,0,0
55,L4541,OStorageConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageConfiguration.java,L4532,38,0,338,0,68,2,6,0
56,L4542,OStorageDataConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageDataConfiguration.java,L4532,1,0,23,0,9,0,0,0
57,L4543,OStorageDataHoleConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageDataHoleConfiguration.java,L4532,1,0,11,0,4,0,0,0
58,L4544,OStorageEntryConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageEntryConfiguration.java,L4532,1,0,13,0,4,0,0,0
59,L4545,OStorageFileConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageFileConfiguration.java,L4532,1,0,24,0,4,0,0,0
60,L4546,OStorageMemoryClusterConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageMemoryClusterConfiguration.java,L4532,1,0,6,0,4,0,0,0
61,L4547,OStorageMemoryLinearHashingClusterConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageMemoryLinearHashingClusterConfiguration.java,L4532,1,0,6,0,1,0,0,0
62,L4548,OStoragePhysicalClusterConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStoragePhysicalClusterConfiguration.java,L4532,1,0,5,0,10,0,0,0
63,L4549,OStoragePhysicalClusterConfigurationLocal.java,core/src/main/java/com/orientechnologies/orient/core/config/OStoragePhysicalClusterConfigurationLocal.java,L4532,1,0,49,0,1,0,0,0
64,L4550,OStoragePhysicalClusterLHPEPSConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStoragePhysicalClusterLHPEPSConfiguration.java,L4532,1,0,55,0,2,0,0,0
65,L4551,OStorageSegmentConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageSegmentConfiguration.java,L4532,4,0,43,0,9,0,0,0
66,L4552,OStorageTxConfiguration.java,core/src/main/java/com/orientechnologies/orient/core/config/OStorageTxConfiguration.java,L4532,2,0,30,0,5,0,0,0
67,L5344,ODatabase.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabase.java,L5343,1,0,76,0,58,4,6,0
68,L5345,ODatabaseComplex.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseComplex.java,L5343,1,0,71,0,36,2,6,0
69,L5346,ODatabaseFactory.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseFactory.java,L5343,12,0,62,0,7,0,0,0
70,L5347,ODatabaseLifecycleListener.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseLifecycleListener.java,L5343,1,0,5,0,6,0,0,0
71,L5348,ODatabaseListener.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseListener.java,L5343,1,0,13,0,6,0,0,0
72,L5349,ODatabasePoolAbstract.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabasePoolAbstract.java,L5343,16,0,112,0,20,0,0,0
73,L5350,ODatabasePoolBase.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabasePoolBase.java,L5343,10,0,91,0,16,0,0,0
74,L5351,ODatabasePooled.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabasePooled.java,L5343,1,0,6,0,5,0,0,0
75,L5352,ODatabasePoolEntry.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabasePoolEntry.java,L5343,12,0,41,0,2,0,0,0
76,L5353,ODatabaseRecordThreadLocal.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseRecordThreadLocal.java,L5343,4,0,32,0,7,0,0,0
77,L5354,ODatabaseRecordWrapperAbstract.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseRecordWrapperAbstract.java,L5343,12,0,297,0,76,4,420,0
78,L5355,ODatabaseSchemaAware.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseSchemaAware.java,L5343,1,0,5,0,5,0,0,0
79,L5356,ODatabaseThreadLocalFactory.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseThreadLocalFactory.java,L5343,1,0,5,0,2,0,0,0
80,L5357,ODatabaseWrapperAbstract.java,core/src/main/java/com/orientechnologies/orient/core/db/ODatabaseWrapperAbstract.java,L5343,3,0,247,0,59,2,6,0
81,L5358,ODataSegmentStrategy.java,core/src/main/java/com/orientechnologies/orient/core/db/ODataSegmentStrategy.java,L5343,1,0,5,0,2,0,0,0
82,L5359,ODefaultDataSegmentStrategy.java,core/src/main/java/com/orientechnologies/orient/core/db/ODefaultDataSegmentStrategy.java,L5343,3,0,13,0,4,0,0,0
83,L5360,OUserObject2RecordHandler.java,core/src/main/java/com/orientechnologies/orient/core/db/OUserObject2RecordHandler.java,L5343,1,0,11,0,11,0,0,0
84,L10940,ODictionary.java,core/src/main/java/com/orientechnologies/orient/core/dictionary/ODictionary.java,L10939,4,0,45,0,11,0,0,0
85,L10978,OEngine.java,core/src/main/java/com/orientechnologies/orient/core/engine/OEngine.java,L10977,1,0,10,0,5,0,0,0
86,L10979,OEngineAbstract.java,core/src/main/java/com/orientechnologies/orient/core/engine/OEngineAbstract.java,L10977,3,0,17,0,3,0,0,0
87,L11051,OClassDictionary.java,core/src/main/java/com/orientechnologies/orient/core/entity/OClassDictionary.java,L11050,29,0,86,0,6,0,0,0
88,L11052,OEntityManager.java,core/src/main/java/com/orientechnologies/orient/core/entity/OEntityManager.java,L11050,13,0,88,0,17,0,0,0
89,L11053,OEntityManagerClassHandler.java,core/src/main/java/com/orientechnologies/orient/core/entity/OEntityManagerClassHandler.java,L11050,5,0,50,0,3,0,0,0
90,L11054,OEntityManagerInternal.java,core/src/main/java/com/orientechnologies/orient/core/entity/OEntityManagerInternal.java,L11050,1,0,4,0,3,0,0,0
91,L11179,OCommandExecutionException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OCommandExecutionException.java,L11178,1,0,11,0,2,0,0,0
92,L11180,OConcurrentModificationException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OConcurrentModificationException.java,L11178,2,0,72,0,12,0,0,0
93,L11181,OConfigurationException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OConfigurationException.java,L11178,1,0,11,0,2,0,0,0
94,L11182,ODatabaseException.java,core/src/main/java/com/orientechnologies/orient/core/exception/ODatabaseException.java,L11178,1,0,11,0,2,0,0,0
95,L11183,OFastConcurrentModificationException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OFastConcurrentModificationException.java,L11178,1,0,20,0,2,0,0,0
96,L11184,OFetchException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OFetchException.java,L11178,1,0,11,0,1,0,0,0
97,L11185,OGraphException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OGraphException.java,L11178,1,0,11,0,2,0,0,0
98,L11186,OMemoryLockException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OMemoryLockException.java,L11178,1,0,7,0,3,0,0,0
99,L11187,OQueryParsingException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OQueryParsingException.java,L11178,4,0,45,0,5,0,0,0
100,L11188,ORecordNotFoundException.java,core/src/main/java/com/orientechnologies/orient/core/exception/ORecordNotFoundException.java,L11178,1,0,11,0,2,0,0,0
101,L11189,OSchemaException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OSchemaException.java,L11178,1,0,11,0,2,0,0,0
102,L11190,OSecurityAccessException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OSecurityAccessException.java,L11178,1,0,19,0,5,0,0,0
103,L11191,OSecurityException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OSecurityException.java,L11178,1,0,11,0,4,0,0,0
104,L11192,OSerializationException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OSerializationException.java,L11178,1,0,11,0,2,0,0,0
105,L11193,OStorageException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OStorageException.java,L11178,1,0,11,0,2,0,0,0
106,L11194,OTransactionAbortedException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OTransactionAbortedException.java,L11178,1,0,10,0,1,0,0,0
107,L11195,OTransactionBlockedException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OTransactionBlockedException.java,L11178,1,0,10,0,1,0,0,0
108,L11196,OTransactionException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OTransactionException.java,L11178,1,0,11,0,2,0,0,0
109,L11197,OValidationException.java,core/src/main/java/com/orientechnologies/orient/core/exception/OValidationException.java,L11178,1,0,10,0,2,0,0,0
110,L11382,OFetchContext.java,core/src/main/java/com/orientechnologies/orient/core/fetch/OFetchContext.java,L11381,1,0,28,0,3,0,0,0
111,L11383,OFetchHelper.java,core/src/main/java/com/orientechnologies/orient/core/fetch/OFetchHelper.java,L11381,115,0,421,0,35,0,0,0
112,L11384,OFetchListener.java,core/src/main/java/com/orientechnologies/orient/core/fetch/OFetchListener.java,L11381,1,0,18,0,5,0,0,0
113,L12056,ODocumentHookAbstract.java,core/src/main/java/com/orientechnologies/orient/core/hook/ODocumentHookAbstract.java,L12055,31,0,142,0,12,0,0,0
114,L12057,OHookThreadLocal.java,core/src/main/java/com/orientechnologies/orient/core/hook/OHookThreadLocal.java,L12055,2,0,21,0,3,0,0,0
115,L12058,ORecordHook.java,core/src/main/java/com/orientechnologies/orient/core/hook/ORecordHook.java,L12055,1,0,14,0,8,0,0,0
116,L12059,ORecordHookAbstract.java,core/src/main/java/com/orientechnologies/orient/core/hook/ORecordHookAbstract.java,L12055,17,0,89,0,8,0,0,0
117,L12252,OClusterPosition.java,core/src/main/java/com/orientechnologies/orient/core/id/OClusterPosition.java,L12251,1,0,12,0,9,4,6,0
118,L12253,OClusterPositionFactory.java,core/src/main/java/com/orientechnologies/orient/core/id/OClusterPositionFactory.java,L12251,5,0,109,0,6,0,0,0
119,L12254,OClusterPositionLong.java,core/src/main/java/com/orientechnologies/orient/core/id/OClusterPositionLong.java,L12251,7,0,90,0,8,4,6,0
120,L12255,OClusterPositionNodeId.java,core/src/main/java/com/orientechnologies/orient/core/id/OClusterPositionNodeId.java,L12251,4,0,81,0,9,4,6,0
121,L12256,OImmutableRecordId.java,core/src/main/java/com/orientechnologies/orient/core/id/OImmutableRecordId.java,L12251,1,0,37,0,4,0,0,0
122,L12257,ONodeId.java,core/src/main/java/com/orientechnologies/orient/core/id/ONodeId.java,L12251,65,0,365,0,14,4,6,0
123,L12258,ORecordId.java,core/src/main/java/com/orientechnologies/orient/core/id/ORecordId.java,L12251,25,0,211,0,49,0,0,0
124,L12259,ORID.java,core/src/main/java/com/orientechnologies/orient/core/id/ORID.java,L12251,1,0,24,0,15,0,0,0
125,L12810,OAbstractIndexDefinitionMultiValue.java,core/src/main/java/com/orientechnologies/orient/core/index/OAbstractIndexDefinitionMultiValue.java,L12809,9,0,46,0,2,0,0,0
126,L12811,OClassIndexManager.java,core/src/main/java/com/orientechnologies/orient/core/index/OClassIndexManager.java,L12809,93,0,406,0,30,0,0,0
127,L12812,OCompositeIndexDefinition.java,core/src/main/java/com/orientechnologies/orient/core/index/OCompositeIndexDefinition.java,L12809,51,0,353,0,9,0,0,0
128,L12813,ODocumentFieldsHashSet.java,core/src/main/java/com/orientechnologies/orient/core/index/ODocumentFieldsHashSet.java,L12809,14,0,96,0,4,0,0,0
129,L12814,OFlattenIterator.java,core/src/main/java/com/orientechnologies/orient/core/index/OFlattenIterator.java,L12809,9,0,44,0,1,0,0,0
130,L12815,OIndex.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndex.java,L12809,1,0,67,0,42,0,0,1
131,L12816,OIndexAbstractDelegate.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexAbstractDelegate.java,L12809,7,0,200,0,25,0,0,1
132,L12817,OIndexCallback.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexCallback.java,L12809,1,0,5,0,2,0,0,0
133,L12818,OIndexDefinition.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexDefinition.java,L12809,1,0,19,0,6,0,0,0
134,L12819,OIndexDefinitionFactory.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexDefinitionFactory.java,L12809,27,0,108,0,2,0,0,0
135,L12820,OIndexDefinitionMultiValue.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexDefinitionMultiValue.java,L12809,1,0,8,0,5,0,0,0
136,L12821,OIndexDictionary.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexDictionary.java,L12809,3,0,32,0,14,0,0,1
137,L12822,OIndexes.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexes.java,L12809,6,0,50,0,6,0,0,0
138,L12823,OIndexException.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexException.java,L12809,1,0,11,0,3,0,0,0
139,L12824,OIndexFactory.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexFactory.java,L12809,1,0,8,0,16,0,0,0
140,L12825,OIndexFullText.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexFullText.java,L12809,18,0,157,0,35,0,0,1
141,L12826,OIndexInternal.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexInternal.java,L12809,1,0,26,0,19,0,0,1
142,L12827,OIndexManager.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexManager.java,L12809,1,0,30,0,26,0,0,0
143,L12828,OIndexManagerAbstract.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexManagerAbstract.java,L12809,29,0,288,0,22,2,3122,1
144,L12829,OIndexManagerProxy.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexManagerProxy.java,L12809,2,0,80,0,11,0,0,0
145,L12830,OIndexManagerRemote.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexManagerRemote.java,L12809,8,0,99,0,15,0,0,0
146,L12831,OIndexManagerShared.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexManagerShared.java,L12809,18,0,134,0,16,0,0,0
147,L12832,OIndexMultiValues.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexMultiValues.java,L12809,80,0,446,0,22,0,0,1
148,L12833,OIndexMVRBTreeAbstract.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexMVRBTreeAbstract.java,L12809,77,0,683,0,107,0,0,0
149,L12834,OIndexNotUnique.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexNotUnique.java,L12809,1,0,11,0,21,0,0,0
150,L12835,OIndexOneValue.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexOneValue.java,L12809,60,0,346,0,21,0,0,1
151,L12836,OIndexRemote.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexRemote.java,L12809,37,0,377,0,30,0,0,1
152,L12837,OIndexRemoteMultiValue.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexRemoteMultiValue.java,L12809,5,0,62,0,10,0,0,0
153,L12838,OIndexRemoteOneValue.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexRemoteOneValue.java,L12809,5,0,53,0,10,0,0,0
154,L12839,OIndexTxAware.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexTxAware.java,L12809,9,0,69,0,6,0,0,1
155,L12840,OIndexTxAwareDictionary.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexTxAwareDictionary.java,L12809,1,0,11,0,2,0,0,0
156,L12841,OIndexTxAwareMultiValue.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexTxAwareMultiValue.java,L12809,35,0,144,0,9,0,0,1
157,L12842,OIndexTxAwareOneValue.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexTxAwareOneValue.java,L12809,36,0,138,0,11,0,0,1
158,L12843,OIndexUnique.java,core/src/main/java/com/orientechnologies/orient/core/index/OIndexUnique.java,L12809,4,0,39,0,32,2,6,1
159,L12844,OMVRBIndexFactory.java,core/src/main/java/com/orientechnologies/orient/core/index/OMVRBIndexFactory.java,L12809,5,0,32,0,3,0,0,0
160,L12845,OPropertyIndexDefinition.java,core/src/main/java/com/orientechnologies/orient/core/index/OPropertyIndexDefinition.java,L12809,10,0,124,0,11,0,0,0
161,L12846,OPropertyListIndexDefinition.java,core/src/main/java/com/orientechnologies/orient/core/index/OPropertyListIndexDefinition.java,L12809,8,0,69,0,7,0,0,0
162,L12847,OPropertyMapIndexDefinition.java,core/src/main/java/com/orientechnologies/orient/core/index/OPropertyMapIndexDefinition.java,L12809,22,0,152,0,6,0,0,0
163,L12848,ORuntimeKeyIndexDefinition.java,core/src/main/java/com/orientechnologies/orient/core/index/ORuntimeKeyIndexDefinition.java,L12809,6,0,95,0,9,0,0,0
164,L12849,OSimpleKeyIndexDefinition.java,core/src/main/java/com/orientechnologies/orient/core/index/OSimpleKeyIndexDefinition.java,L12809,18,0,109,0,8,0,0,0
165,L15769,OIntent.java,core/src/main/java/com/orientechnologies/orient/core/intent/OIntent.java,L15768,1,0,6,0,4,0,0,0
166,L15770,OIntentMassiveInsert.java,core/src/main/java/com/orientechnologies/orient/core/intent/OIntentMassiveInsert.java,L15768,7,0,39,0,19,0,0,0
167,L15771,OIntentMassiveRead.java,core/src/main/java/com/orientechnologies/orient/core/intent/OIntentMassiveRead.java,L15768,1,0,8,0,3,0,0,0
168,L15803,OEmptyIterator.java,core/src/main/java/com/orientechnologies/orient/core/iterator/OEmptyIterator.java,L15802,1,0,14,0,3,0,0,0
169,L15804,OIdentifiableIterator.java,core/src/main/java/com/orientechnologies/orient/core/iterator/OIdentifiableIterator.java,L15802,44,0,223,0,19,5,6,0
170,L15805,OIterationException.java,core/src/main/java/com/orientechnologies/orient/core/iterator/OIterationException.java,L15802,1,0,11,0,2,0,0,0
171,L15806,ORecordIteratorClass.java,core/src/main/java/com/orientechnologies/orient/core/iterator/ORecordIteratorClass.java,L15802,8,0,59,0,29,3,6,1
172,L15807,ORecordIteratorCluster.java,core/src/main/java/com/orientechnologies/orient/core/iterator/ORecordIteratorCluster.java,L15802,29,0,156,0,47,4,420,1
173,L15808,ORecordIteratorClusters.java,core/src/main/java/com/orientechnologies/orient/core/iterator/ORecordIteratorClusters.java,L15802,54,0,226,0,20,4,6,1
174,L16126,OLowMemoryException.java,core/src/main/java/com/orientechnologies/orient/core/memory/OLowMemoryException.java,L16125,1,0,10,0,2,0,0,0
175,L16127,OMemoryWatchDog.java,core/src/main/java/com/orientechnologies/orient/core/memory/OMemoryWatchDog.java,L16125,8,0,87,0,17,0,0,0
176,L16201,OMetadata.java,core/src/main/java/com/orientechnologies/orient/core/metadata/OMetadata.java,L16200,20,0,149,0,42,0,0,0
177,L18629,OComposableProcessor.java,core/src/main/java/com/orientechnologies/orient/core/processor/OComposableProcessor.java,L18628,10,0,97,0,3,0,0,0
178,L18630,OProcessException.java,core/src/main/java/com/orientechnologies/orient/core/processor/OProcessException.java,L18628,1,0,16,0,1,0,0,0
179,L18631,OProcessor.java,core/src/main/java/com/orientechnologies/orient/core/processor/OProcessor.java,L18628,1,0,6,0,4,0,0,0
180,L18632,OProcessorManager.java,core/src/main/java/com/orientechnologies/orient/core/processor/OProcessorManager.java,L18628,2,0,17,0,3,0,0,0
181,L19123,OJVMProfiler.java,core/src/main/java/com/orientechnologies/orient/core/profiler/OJVMProfiler.java,L19122,3,0,121,0,9,0,0,0
182,L19211,OQuery.java,core/src/main/java/com/orientechnologies/orient/core/query/OQuery.java,L19210,1,0,8,0,11,0,0,0
