,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications,Number of bugs
20,L1660,BaseTestRunner.java,junit/runner/BaseTestRunner.java,L1659,35,0,252,0,0,0,18,0
21,L1661,ClassPathTestCollector.java,junit/runner/ClassPathTestCollector.java,L1659,10,0,63,0,0,0,4,0
22,L1662,FailureDetailView.java,junit/runner/FailureDetailView.java,L1659,1,0,8,0,0,0,2,0
23,L1663,LoadingTestCollector.java,junit/runner/LoadingTestCollector.java,L1659,12,0,54,0,0,0,4,0
24,L1664,ReloadingTestSuiteLoader.java,junit/runner/ReloadingTestSuiteLoader.java,L1659,1,0,12,0,0,0,3,0
25,L1665,SimpleTestCollector.java,junit/runner/SimpleTestCollector.java,L1659,3,0,11,0,0,0,1,0
26,L1666,Sorter.java,junit/runner/Sorter.java,L1659,7,0,27,0,0,0,4,0
27,L1667,StandardTestSuiteLoader.java,junit/runner/StandardTestSuiteLoader.java,L1659,1,0,9,0,0,0,1,0
28,L1668,TestCaseClassLoader.java,junit/runner/TestCaseClassLoader.java,L1659,34,0,188,0,0,0,6,0
29,L1669,TestCollector.java,junit/runner/TestCollector.java,L1659,1,0,6,0,0,0,4,0
30,L1670,TestRunListener.java,junit/runner/TestRunListener.java,L1659,1,0,11,0,0,0,2,0
31,L1671,TestSuiteLoader.java,junit/runner/TestSuiteLoader.java,L1659,1,0,5,0,0,0,1,0
32,L1672,Version.java,junit/runner/Version.java,L1659,1,0,11,0,0,0,12,0
33,L2146,AllTests.java,junit/samples/AllTests.java,L2145,1,0,15,0,0,0,2,0
34,L2147,SimpleTest.java,junit/samples/SimpleTest.java,L2145,1,0,34,0,0,0,5,0
35,L2148,VectorTest.java,junit/samples/VectorTest.java,L2145,3,0,57,0,0,0,5,0
36,L2395,AboutDialog.java,junit/swingui/AboutDialog.java,L2394,2,0,76,0,0,0,5,0
37,L2396,CounterPanel.java,junit/swingui/CounterPanel.java,L2394,1,0,97,0,0,0,10,0
38,L2397,DefaultFailureDetailView.java,junit/swingui/DefaultFailureDetailView.java,L2394,3,0,68,0,0,0,8,0
39,L2398,FailureRunView.java,junit/swingui/FailureRunView.java,L2394,6,0,94,0,0,0,7,0
40,L2399,MacProgressBar.java,junit/swingui/MacProgressBar.java,L2394,1,0,12,0,0,0,1,0
41,L2400,ProgressBar.java,junit/swingui/ProgressBar.java,L2394,4,0,34,0,0,0,4,0
42,L2401,StatusLine.java,junit/swingui/StatusLine.java,L2394,1,0,35,0,0,0,4,0
43,L2402,TestHierarchyRunView.java,junit/swingui/TestHierarchyRunView.java,L2394,2,0,60,0,0,0,4,0
44,L2403,TestRunContext.java,junit/swingui/TestRunContext.java,L2394,1,0,7,0,0,0,1,0
45,L2404,TestRunner.java,junit/swingui/TestRunner.java,L2394,55,0,715,0,0,0,20,0
46,L2405,TestRunView.java,junit/swingui/TestRunView.java,L2394,1,0,12,0,0,0,3,0
47,L2406,TestSelector.java,junit/swingui/TestSelector.java,L2394,11,0,242,0,0,0,5,0
48,L2407,TestSuitePanel.java,junit/swingui/TestSuitePanel.java,L2394,14,0,135,0,0,0,3,0
49,L2408,TestTreeModel.java,junit/swingui/TestTreeModel.java,L2394,16,0,119,0,0,0,7,0
50,L3774,AllTests.java,junit/tests/AllTests.java,L3773,1,0,15,0,0,0,7,0
51,L3775,WasRun.java,junit/tests/WasRun.java,L3773,1,0,8,0,0,0,4,0
52,L4568,ResultPrinter.java,junit/textui/ResultPrinter.java,L4567,7,0,92,0,0,0,6,0
53,L4569,TestRunner.java,junit/textui/TestRunner.java,L4567,13,0,124,0,0,0,22,0
54,L2167,IMoney.java,junit/samples/money/IMoney.java,L2166,1,0,11,0,0,0,4,0
55,L2168,Money.java,junit/samples/money/Money.java,L2166,6,0,60,0,0,0,3,0
56,L2169,MoneyBag.java,junit/samples/money/MoneyBag.java,L2166,20,0,116,0,0,0,5,0
57,L2170,MoneyTest.java,junit/samples/money/MoneyTest.java,L2166,1,0,122,0,0,0,7,0
58,L3789,ActiveTestTest.java,junit/tests/extensions/ActiveTestTest.java,L3788,2,0,50,0,0,0,3,0
59,L3790,AllTests.java,junit/tests/extensions/AllTests.java,L3788,1,0,16,0,0,0,2,0
60,L3791,ExceptionTestCaseTest.java,junit/tests/extensions/ExceptionTestCaseTest.java,L3788,1,0,58,0,0,0,3,0
61,L3792,ExtensionTest.java,junit/tests/extensions/ExtensionTest.java,L3788,1,0,72,0,0,0,3,0
62,L3793,RepeatedTestTest.java,junit/tests/extensions/RepeatedTestTest.java,L3788,2,0,48,0,0,0,4,0
63,L3945,AllTests.java,junit/tests/framework/AllTests.java,L3944,1,0,21,0,0,0,7,0
64,L3946,AssertTest.java,junit/tests/framework/AssertTest.java,L3944,13,0,120,0,0,0,9,0
65,L3947,ComparisonCompactorTest.java,junit/tests/framework/ComparisonCompactorTest.java,L3944,1,0,81,0,0,0,1,0
66,L3948,ComparisonFailureTest.java,junit/tests/framework/ComparisonFailureTest.java,L3944,2,0,17,0,0,0,2,0
67,L3949,DoublePrecisionAssertTest.java,junit/tests/framework/DoublePrecisionAssertTest.java,L3944,5,0,46,0,0,0,3,0
68,L3950,Failure.java,junit/tests/framework/Failure.java,L3944,1,0,7,0,0,0,4,0
69,L3951,InheritedTestCase.java,junit/tests/framework/InheritedTestCase.java,L3944,1,0,5,0,0,0,2,0
70,L3952,NoArgTestCaseTest.java,junit/tests/framework/NoArgTestCaseTest.java,L3944,1,0,6,0,0,0,1,0
71,L3953,NoTestCaseClass.java,junit/tests/framework/NoTestCaseClass.java,L3944,1,0,5,0,0,0,3,0
72,L3954,NoTestCases.java,junit/tests/framework/NoTestCases.java,L3944,1,0,6,0,0,0,2,0
73,L3955,NotPublicTestCase.java,junit/tests/framework/NotPublicTestCase.java,L3944,1,0,8,0,0,0,2,0
74,L3956,NotVoidTestCase.java,junit/tests/framework/NotVoidTestCase.java,L3944,1,0,9,0,0,0,2,0
75,L3957,OneTestCase.java,junit/tests/framework/OneTestCase.java,L3944,1,0,10,0,0,0,2,0
76,L3958,OverrideTestCase.java,junit/tests/framework/OverrideTestCase.java,L3944,1,0,5,0,0,0,2,0
77,L3959,Success.java,junit/tests/framework/Success.java,L3944,1,0,8,0,0,0,4,0
78,L3960,SuiteTest.java,junit/tests/framework/SuiteTest.java,L3944,1,0,88,0,0,0,6,0
79,L3961,TestCaseTest.java,junit/tests/framework/TestCaseTest.java,L3944,3,0,158,0,0,0,7,0
80,L3962,TestImplementorTest.java,junit/tests/framework/TestImplementorTest.java,L3944,1,0,42,0,0,0,3,0
81,L3963,TestListenerTest.java,junit/tests/framework/TestListenerTest.java,L3944,1,0,61,0,0,0,3,0
82,L4283,AllTests.java,junit/tests/runner/AllTests.java,L4282,3,0,27,0,0,0,6,0
83,L4284,BaseTestRunnerTest.java,junit/tests/runner/BaseTestRunnerTest.java,L4282,1,0,25,0,0,0,5,0
84,L4285,ClassLoaderTest.java,junit/tests/runner/ClassLoaderTest.java,L4282,2,0,21,0,0,0,3,0
85,L4286,LoadedFromJar.java,junit/tests/runner/LoadedFromJar.java,L4282,2,0,13,0,0,0,3,0
86,L4287,SimpleTestCollectorTest.java,junit/tests/runner/SimpleTestCollectorTest.java,L4282,1,0,9,0,0,0,2,0
87,L4288,SorterTest.java,junit/tests/runner/SorterTest.java,L4282,1,0,23,0,0,0,3,0
88,L4289,StackFilterTest.java,junit/tests/runner/StackFilterTest.java,L4282,1,0,39,0,0,0,4,0
89,L4290,TestCaseClassLoaderTest.java,junit/tests/runner/TestCaseClassLoaderTest.java,L4282,2,0,25,0,0,0,9,0
90,L4291,TextFeedbackTest.java,junit/tests/runner/TextFeedbackTest.java,L4282,2,0,82,0,0,0,10,0
91,L4292,TextRunnerSingleMethodTest.java,junit/tests/runner/TextRunnerSingleMethodTest.java,L4282,1,0,64,0,0,0,3,0
92,L4293,TextRunnerTest.java,junit/tests/runner/TextRunnerTest.java,L4282,3,0,49,0,0,0,6,0
93,L111,ActiveTestSuite.java,src/main/java/junit/extensions/ActiveTestSuite.java,L110,3,0,52,0,0,0,1,0
94,L112,package-info.java,src/main/java/junit/extensions/package-info.java,L110,1,0,1,0,0,0,1,0
95,L113,RepeatedTest.java,src/main/java/junit/extensions/RepeatedTest.java,L110,4,0,28,0,0,0,1,0
96,L114,TestDecorator.java,src/main/java/junit/extensions/TestDecorator.java,L110,1,0,26,0,0,0,1,0
97,L115,TestSetup.java,src/main/java/junit/extensions/TestSetup.java,L110,1,0,24,0,0,0,1,0
98,L278,Assert.java,src/main/java/junit/framework/Assert.java,L277,19,0,146,0,0,0,1,0
99,L279,AssertionFailedError.java,src/main/java/junit/framework/AssertionFailedError.java,L277,1,0,9,0,0,0,1,0
100,L280,ComparisonCompactor.java,src/main/java/junit/framework/ComparisonCompactor.java,L277,13,0,60,0,0,0,1,0
101,L281,ComparisonFailure.java,src/main/java/junit/framework/ComparisonFailure.java,L277,1,0,22,0,0,0,1,0
102,L282,JUnit4TestAdapter.java,src/main/java/junit/framework/JUnit4TestAdapter.java,L277,4,0,66,0,0,0,1,0
103,L283,JUnit4TestAdapterCache.java,src/main/java/junit/framework/JUnit4TestAdapterCache.java,L277,7,0,67,0,0,0,1,0
104,L284,JUnit4TestCaseFacade.java,src/main/java/junit/framework/JUnit4TestCaseFacade.java,L277,1,0,23,0,0,0,1,0
105,L285,package-info.java,src/main/java/junit/framework/package-info.java,L277,1,0,1,0,0,0,1,0
106,L286,Protectable.java,src/main/java/junit/framework/Protectable.java,L277,1,0,4,0,0,0,1,0
107,L287,Test.java,src/main/java/junit/framework/Test.java,L277,1,0,5,0,0,0,1,0
108,L288,TestCase.java,src/main/java/junit/framework/TestCase.java,L277,9,0,81,0,0,0,1,0
109,L289,TestFailure.java,src/main/java/junit/framework/TestFailure.java,L277,1,0,36,0,0,0,1,0
110,L290,TestListener.java,src/main/java/junit/framework/TestListener.java,L277,1,0,7,0,0,0,1,0
111,L291,TestResult.java,src/main/java/junit/framework/TestResult.java,L277,9,0,100,0,0,0,1,0
112,L292,TestSuite.java,src/main/java/junit/framework/TestSuite.java,L277,24,0,164,0,0,0,1,0
113,L1229,BaseTestRunner.java,src/main/java/junit/runner/BaseTestRunner.java,L1228,32,0,236,0,0,0,1,0
114,L1230,package-info.java,src/main/java/junit/runner/package-info.java,L1228,1,0,1,0,0,0,1,0
115,L1231,TestRunListener.java,src/main/java/junit/runner/TestRunListener.java,L1228,1,0,11,0,0,0,1,0
116,L1232,Version.java,src/main/java/junit/runner/Version.java,L1228,1,0,11,0,0,0,19,0
117,L1451,package-info.java,src/main/java/junit/textui/package-info.java,L1450,1,0,1,0,0,0,1,0
118,L1452,ResultPrinter.java,src/main/java/junit/textui/ResultPrinter.java,L1450,7,0,92,0,0,0,1,0
119,L1453,TestRunner.java,src/main/java/junit/textui/TestRunner.java,L1450,13,0,124,0,0,0,1,0
120,L2562,After.java,src/main/java/org/junit/After.java,L2561,1,0,9,0,0,0,1,0
121,L2563,AfterClass.java,src/main/java/org/junit/AfterClass.java,L2561,1,0,9,0,0,0,2,0
122,L2564,Assert.java,src/main/java/org/junit/Assert.java,L2561,32,0,259,0,0,0,9,0
123,L2565,Assume.java,src/main/java/org/junit/Assume.java,L2561,2,0,23,0,0,0,9,0
124,L2566,Before.java,src/main/java/org/junit/Before.java,L2561,1,0,9,0,0,0,2,0
125,L2567,BeforeClass.java,src/main/java/org/junit/BeforeClass.java,L2561,1,0,9,0,0,0,1,0
126,L2568,ComparisonFailure.java,src/main/java/org/junit/ComparisonFailure.java,L2561,13,0,81,0,0,0,2,0
127,L2569,Ignore.java,src/main/java/org/junit/Ignore.java,L2561,1,0,10,0,0,0,1,0
128,L2570,package-info.java,src/main/java/org/junit/package-info.java,L2561,1,0,1,0,0,0,1,0
129,L2571,Test.java,src/main/java/org/junit/Test.java,L2561,1,0,16,0,0,0,1,0
130,L2974,ParallelComputer.java,src/main/java/org/junit/experimental/ParallelComputer.java,L2973,7,0,103,0,0,0,2,0
131,L3937,ArrayComparisonFailure.java,src/main/java/org/junit/internal/ArrayComparisonFailure.java,L3936,3,0,36,0,0,0,2,0
132,L3938,AssumptionViolatedException.java,src/main/java/org/junit/internal/AssumptionViolatedException.java,L3936,3,0,32,0,0,0,1,0
133,L3939,InexactComparisonCriteria.java,src/main/java/org/junit/internal/InexactComparisonCriteria.java,L3936,9,0,37,0,0,0,3,0
134,L3940,JUnitSystem.java,src/main/java/org/junit/internal/JUnitSystem.java,L3936,1,0,6,0,0,0,1,0
135,L3941,RealSystem.java,src/main/java/org/junit/internal/RealSystem.java,L3936,1,0,10,0,0,0,1,0
136,L3942,TextListener.java,src/main/java/org/junit/internal/TextListener.java,L3936,6,0,73,0,0,0,7,0
137,L4972,JUnitMatchers.java,src/main/java/org/junit/matchers/JUnitMatchers.java,L4971,1,0,32,0,0,0,6,0
138,L4973,package-info.java,src/main/java/org/junit/matchers/package-info.java,L4971,1,0,1,0,0,0,1,0
139,L5027,Computer.java,src/main/java/org/junit/runner/Computer.java,L5026,1,0,21,0,0,0,2,0
140,L5028,Describable.java,src/main/java/org/junit/runner/Describable.java,L5026,1,0,4,0,0,0,3,0
141,L5029,Description.java,src/main/java/org/junit/runner/Description.java,L5026,12,0,111,0,0,0,10,0
142,L5030,JUnitCore.java,src/main/java/org/junit/runner/JUnitCore.java,L5026,5,0,87,0,0,0,13,0
143,L5031,package-info.java,src/main/java/org/junit/runner/package-info.java,L5026,1,0,1,0,0,0,1,0
144,L5032,Request.java,src/main/java/org/junit/runner/Request.java,L5026,2,0,57,0,0,0,20,0
145,L5033,Result.java,src/main/java/org/junit/runner/Result.java,L5026,1,0,59,0,0,0,10,0
146,L5034,Runner.java,src/main/java/org/junit/runner/Runner.java,L5026,1,0,9,0,0,0,1,0
147,L5035,RunWith.java,src/main/java/org/junit/runner/RunWith.java,L5026,1,0,12,0,0,0,1,0
148,L5483,AllTests.java,src/main/java/org/junit/runners/AllTests.java,L5482,1,0,7,0,0,0,2,0
149,L5484,BlockJUnit4ClassRunner.java,src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java,L5482,14,0,163,0,0,0,19,0
150,L5485,JUnit4.java,src/main/java/org/junit/runners/JUnit4.java,L5482,1,0,7,0,0,0,1,0
151,L5486,package-info.java,src/main/java/org/junit/runners/package-info.java,L5482,1,0,1,0,0,0,3,0
152,L5487,Parameterized.java,src/main/java/org/junit/runners/Parameterized.java,L5482,6,0,93,0,0,0,28,0
153,L5488,ParentRunner.java,src/main/java/org/junit/runners/ParentRunner.java,L5482,15,0,155,0,0,0,9,0
154,L5489,Suite.java,src/main/java/org/junit/runners/Suite.java,L5482,3,0,55,0,0,0,25,0
155,L2977,CouldNotReadCoreException.java,src/main/java/org/junit/experimental/max/CouldNotReadCoreException.java,L2976,1,0,7,0,0,0,1,0
156,L2978,MaxCore.java,src/main/java/org/junit/experimental/max/MaxCore.java,L2976,12,0,100,0,0,0,15,0
157,L2979,MaxHistory.java,src/main/java/org/junit/experimental/max/MaxHistory.java,L2976,10,0,118,0,0,0,4,0
158,L3369,FailureList.java,src/main/java/org/junit/experimental/results/FailureList.java,L3368,3,0,23,0,0,0,1,0
159,L3370,PrintableResult.java,src/main/java/org/junit/experimental/results/PrintableResult.java,L3368,1,0,32,0,0,0,3,0
160,L3371,ResultMatchers.java,src/main/java/org/junit/experimental/results/ResultMatchers.java,L3368,2,0,41,0,0,0,5,0
161,L3459,Enclosed.java,src/main/java/org/junit/experimental/runners/Enclosed.java,L3458,1,0,8,0,0,0,2,0
162,L3472,DataPoint.java,src/main/java/org/junit/experimental/theories/DataPoint.java,L3471,1,0,6,0,0,0,1,0
163,L3473,DataPoints.java,src/main/java/org/junit/experimental/theories/DataPoints.java,L3471,1,0,6,0,0,0,1,0
164,L3474,ParameterSignature.java,src/main/java/org/junit/experimental/theories/ParameterSignature.java,L3471,9,0,71,0,0,0,2,0
165,L3475,ParametersSuppliedBy.java,src/main/java/org/junit/experimental/theories/ParametersSuppliedBy.java,L3471,1,0,7,0,0,0,1,0
166,L3476,ParameterSupplier.java,src/main/java/org/junit/experimental/theories/ParameterSupplier.java,L3471,1,0,5,0,0,0,1,0
167,L3477,PotentialAssignment.java,src/main/java/org/junit/experimental/theories/PotentialAssignment.java,L3471,1,0,25,0,0,0,3,0
168,L3478,Theories.java,src/main/java/org/junit/experimental/theories/Theories.java,L3471,14,0,158,0,0,0,26,0
169,L3479,Theory.java,src/main/java/org/junit/experimental/theories/Theory.java,L3471,1,0,7,0,0,0,1,0
170,L3989,AllDefaultPossibilitiesBuilder.java,src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java,L3988,4,0,43,0,0,0,4,0
171,L3990,AnnotatedBuilder.java,src/main/java/org/junit/internal/builders/AnnotatedBuilder.java,L3988,4,0,36,0,0,0,3,0
172,L3991,IgnoredBuilder.java,src/main/java/org/junit/internal/builders/IgnoredBuilder.java,L3988,2,0,12,0,0,0,2,0
173,L3992,IgnoredClassRunner.java,src/main/java/org/junit/internal/builders/IgnoredClassRunner.java,L3988,1,0,18,0,0,0,1,0
174,L3993,JUnit3Builder.java,src/main/java/org/junit/internal/builders/JUnit3Builder.java,L3988,2,0,15,0,0,0,2,0
175,L3994,JUnit4Builder.java,src/main/java/org/junit/internal/builders/JUnit4Builder.java,L3988,1,0,10,0,0,0,4,0
176,L3995,NullBuilder.java,src/main/java/org/junit/internal/builders/NullBuilder.java,L3988,1,0,9,0,0,0,2,0
177,L3996,SuiteMethodBuilder.java,src/main/java/org/junit/internal/builders/SuiteMethodBuilder.java,L3988,3,0,20,0,0,0,2,0
178,L4135,CombinableMatcher.java,src/main/java/org/junit/internal/matchers/CombinableMatcher.java,L4134,1,0,26,0,0,0,1,0
179,L4136,Each.java,src/main/java/org/junit/internal/matchers/Each.java,L4134,1,0,20,0,0,0,1,0
180,L4137,IsCollectionContaining.java,src/main/java/org/junit/internal/matchers/IsCollectionContaining.java,L4134,5,0,54,0,0,0,1,0
181,L4138,StringContains.java,src/main/java/org/junit/internal/matchers/StringContains.java,L4134,1,0,20,0,0,0,1,0
182,L4139,SubstringMatcher.java,src/main/java/org/junit/internal/matchers/SubstringMatcher.java,L4134,1,0,20,0,0,0,1,0
183,L4140,TypeSafeMatcher.java,src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java,L4134,8,0,34,0,0,0,1,0
184,L4305,ClassRequest.java,src/main/java/org/junit/internal/requests/ClassRequest.java,L4304,1,0,19,0,0,0,6,0
185,L4306,FilterRequest.java,src/main/java/org/junit/internal/requests/FilterRequest.java,L4304,2,0,26,0,0,0,2,0
186,L4307,package-info.java,src/main/java/org/junit/internal/requests/package-info.java,L4304,1,0,1,0,0,0,1,0
187,L4308,SortingRequest.java,src/main/java/org/junit/internal/requests/SortingRequest.java,L4304,1,0,20,0,0,0,1,0
188,L4350,ClassRoadie.java,src/main/java/org/junit/internal/runners/ClassRoadie.java,L4349,9,0,65,0,0,0,2,0
189,L4351,ErrorReportingRunner.java,src/main/java/org/junit/internal/runners/ErrorReportingRunner.java,L4349,6,0,50,0,0,0,15,0
190,L4352,FailedBefore.java,src/main/java/org/junit/internal/runners/FailedBefore.java,L4349,1,0,6,0,0,0,2,0
191,L4353,InitializationError.java,src/main/java/org/junit/internal/runners/InitializationError.java,L4349,1,0,20,0,0,0,3,0
192,L4354,JUnit38ClassRunner.java,src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java,L4349,18,0,142,0,0,0,9,0
193,L4355,JUnit4ClassRunner.java,src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java,L4349,8,0,117,0,0,0,13,0
194,L4356,MethodRoadie.java,src/main/java/org/junit/internal/runners/MethodRoadie.java,L4349,21,0,138,0,0,0,2,0
195,L4357,MethodValidator.java,src/main/java/org/junit/internal/runners/MethodValidator.java,L4349,11,0,72,0,0,0,2,0
196,L4358,package-info.java,src/main/java/org/junit/internal/runners/package-info.java,L4349,1,0,1,0,0,0,1,0
197,L4359,SuiteMethod.java,src/main/java/org/junit/internal/runners/SuiteMethod.java,L4349,3,0,24,0,0,0,2,0
198,L4360,TestClass.java,src/main/java/org/junit/internal/runners/TestClass.java,L4349,14,0,81,0,0,0,2,0
199,L4361,TestMethod.java,src/main/java/org/junit/internal/runners/TestMethod.java,L4349,4,0,51,0,0,0,2,0
200,L5193,Filter.java,src/main/java/org/junit/runner/manipulation/Filter.java,L5192,5,0,40,0,0,0,7,0
201,L5194,Filterable.java,src/main/java/org/junit/runner/manipulation/Filterable.java,L5192,1,0,4,0,0,0,1,0
202,L5195,NoTestsRemainException.java,src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java,L5192,1,0,4,0,0,0,1,0
203,L5196,package-info.java,src/main/java/org/junit/runner/manipulation/package-info.java,L5192,1,0,1,0,0,0,1,0
204,L5197,Sortable.java,src/main/java/org/junit/runner/manipulation/Sortable.java,L5192,1,0,4,0,0,0,1,0
205,L5198,Sorter.java,src/main/java/org/junit/runner/manipulation/Sorter.java,L5192,2,0,22,0,0,0,5,0
206,L5252,Failure.java,src/main/java/org/junit/runner/notification/Failure.java,L5251,1,0,37,0,0,0,3,0
207,L5253,package-info.java,src/main/java/org/junit/runner/notification/package-info.java,L5251,1,0,1,0,0,0,1,0
208,L5254,RunListener.java,src/main/java/org/junit/runner/notification/RunListener.java,L5251,1,0,20,0,0,0,7,0
209,L5255,RunNotifier.java,src/main/java/org/junit/runner/notification/RunNotifier.java,L5251,4,0,93,0,0,0,8,0
210,L5256,StoppedByUserException.java,src/main/java/org/junit/runner/notification/StoppedByUserException.java,L5251,1,0,4,0,0,0,1,0
211,L5636,FrameworkMethod.java,src/main/java/org/junit/runners/model/FrameworkMethod.java,L5635,15,0,84,0,0,0,6,0
212,L5637,InitializationError.java,src/main/java/org/junit/runners/model/InitializationError.java,L5635,1,0,16,0,0,0,2,0
213,L5638,RunnerBuilder.java,src/main/java/org/junit/runners/model/RunnerBuilder.java,L5635,5,0,44,0,0,0,2,0
214,L5639,Statement.java,src/main/java/org/junit/runners/model/Statement.java,L5635,1,0,4,0,0,0,2,0
215,L5640,TestClass.java,src/main/java/org/junit/runners/model/TestClass.java,L5635,13,0,82,0,0,0,3,0
216,L3484,AllMembersSupplier.java,src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java,L3483,17,0,99,0,0,0,13,0
217,L3485,Assignments.java,src/main/java/org/junit/experimental/theories/internal/Assignments.java,L3483,7,0,99,0,0,0,8,0
218,L3486,ParameterizedAssertionError.java,src/main/java/org/junit/experimental/theories/internal/ParameterizedAssertionError.java,L3483,4,0,38,0,0,0,2,0
219,L3787,TestedOn.java,src/main/java/org/junit/experimental/theories/suppliers/TestedOn.java,L3786,1,0,9,0,0,0,1,0
220,L3788,TestedOnSupplier.java,src/main/java/org/junit/experimental/theories/suppliers/TestedOnSupplier.java,L3786,2,0,18,0,0,0,2,0
221,L4750,EachTestNotifier.java,src/main/java/org/junit/internal/runners/model/EachTestNotifier.java,L4749,3,0,34,0,0,0,8,0
222,L4751,MultipleFailureException.java,src/main/java/org/junit/internal/runners/model/MultipleFailureException.java,L4749,1,0,12,0,0,0,2,0
223,L4752,ReflectiveCallable.java,src/main/java/org/junit/internal/runners/model/ReflectiveCallable.java,L4749,2,0,12,0,0,0,1,0
224,L4789,ExpectException.java,src/main/java/org/junit/internal/runners/statements/ExpectException.java,L4788,4,0,28,0,0,0,2,0
225,L4790,Fail.java,src/main/java/org/junit/internal/runners/statements/Fail.java,L4788,1,0,12,0,0,0,2,0
226,L4791,FailOnTimeout.java,src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,L4788,6,0,50,0,0,0,2,0
227,L4792,InvokeMethod.java,src/main/java/org/junit/internal/runners/statements/InvokeMethod.java,L4788,1,0,15,0,0,0,3,0
228,L4793,RunAfters.java,src/main/java/org/junit/internal/runners/statements/RunAfters.java,L4788,6,0,38,0,0,0,4,0
229,L4794,RunBefores.java,src/main/java/org/junit/internal/runners/statements/RunBefores.java,L4788,2,0,20,0,0,0,4,0
230,L1630,AllTests.java,src/test/java/junit/samples/AllTests.java,L1629,1,0,15,0,0,0,1,0
231,L1631,ListTest.java,src/test/java/junit/samples/ListTest.java,L1629,3,0,54,0,0,0,1,0
232,L1632,package-info.java,src/test/java/junit/samples/package-info.java,L1629,1,0,1,0,0,0,1,0
233,L1633,SimpleTest.java,src/test/java/junit/samples/SimpleTest.java,L1629,1,0,35,0,0,0,1,0
234,L1893,AllTests.java,src/test/java/junit/tests/AllTests.java,L1892,1,0,15,0,0,0,1,0
235,L1894,package-info.java,src/test/java/junit/tests/package-info.java,L1892,1,0,1,0,0,0,1,0
236,L1895,WasRun.java,src/test/java/junit/tests/WasRun.java,L1892,1,0,9,0,0,0,1,0
237,L1684,IMoney.java,src/test/java/junit/samples/money/IMoney.java,L1683,1,0,11,0,0,0,1,0
238,L1685,Money.java,src/test/java/junit/samples/money/Money.java,L1683,7,0,65,0,0,0,1,0
239,L1686,MoneyBag.java,src/test/java/junit/samples/money/MoneyBag.java,L1683,20,0,108,0,0,0,1,0
240,L1687,MoneyTest.java,src/test/java/junit/samples/money/MoneyTest.java,L1683,1,0,123,0,0,0,1,0
241,L1688,package-info.java,src/test/java/junit/samples/money/package-info.java,L1683,1,0,1,0,0,0,1,0
242,L1909,ActiveTestTest.java,src/test/java/junit/tests/extensions/ActiveTestTest.java,L1908,2,0,51,0,0,0,1,0
243,L1910,AllTests.java,src/test/java/junit/tests/extensions/AllTests.java,L1908,1,0,15,0,0,0,1,0
