,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of bugs
27,L14503,SendToBackAction.java,canvas/src/main/java/gov/nasa/arc/mct/menu/SendToBackAction.java,L14479,2,0,39,0,0,1,0,0
28,L14504,WindowGridMenu.java,canvas/src/main/java/gov/nasa/arc/mct/menu/WindowGridMenu.java,L14479,1,0,30,0,0,1,0,0
29,L212,ControlAreaFormattingConstants.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/formatting/ControlAreaFormattingConstants.java,L211,6,0,65,0,0,1,0,0
30,L323,CanvasLayoutManager.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/layout/CanvasLayoutManager.java,L322,33,0,236,0,0,1,0,0
31,L590,CanvasViewStrategy.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/CanvasViewStrategy.java,L589,6,0,52,1,70,2,0,0
32,L591,FlatScrollBarUI.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/FlatScrollBarUI.java,L589,5,0,76,0,0,1,0,0
33,L592,Panel.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/Panel.java,L589,50,0,602,1,70,2,0,0
34,L593,PanelBorder.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/PanelBorder.java,L589,28,0,201,0,0,1,0,0
35,L594,TransferableIcon.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/panel/TransferableIcon.java,L589,6,0,92,0,0,1,0,0
36,L1660,CanvasPersistentState.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/persistence/CanvasPersistentState.java,L1659,1,0,33,0,0,1,0,0
37,L1661,MCTViewManifestationInfo.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/persistence/MCTViewManifestationInfo.java,L1659,11,0,190,0,0,1,0,0
38,L1930,CanvasFilterViewPolicy.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/policy/CanvasFilterViewPolicy.java,L1929,3,0,24,0,0,1,0,0
39,L1931,EmbeddedCanvasViewsAreNotWriteable.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/policy/EmbeddedCanvasViewsAreNotWriteable.java,L1929,1,0,14,1,70,2,0,0
40,L2006,CanvasComponentProvider.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/provider/CanvasComponentProvider.java,L2005,1,0,162,0,0,1,0,0
41,L2191,Augmentation.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/Augmentation.java,L2190,145,0,670,2,70,6,0,0
42,L2192,CanvasFormattingController.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/CanvasFormattingController.java,L2190,50,0,269,0,0,1,0,0
43,L2193,CanvasFormattingControlsPanel.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/CanvasFormattingControlsPanel.java,L2190,111,0,1495,1,70,2,0,0
44,L2194,CanvasIcons.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/CanvasIcons.java,L2190,41,0,134,0,0,1,0,0
45,L2195,CanvasManifestation.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/CanvasManifestation.java,L2190,112,0,868,1,70,2,0,0
46,L2196,ChangeGridSizeAction.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/ChangeGridSizeAction.java,L2190,8,0,92,0,0,1,0,0
47,L2197,ChangeSnapAction.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/ChangeSnapAction.java,L2190,10,0,67,0,0,1,0,0
48,L2198,MarqueSelectionListener.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/MarqueSelectionListener.java,L2190,20,0,105,0,0,1,0,0
49,L2199,PanelFocusSelectionProvider.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/PanelFocusSelectionProvider.java,L2190,1,0,12,0,0,1,0,0
50,L2200,PanelFocusTraversalPolicy.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/PanelFocusTraversalPolicy.java,L2190,16,0,122,0,0,1,0,0
51,L2201,PanelInspector.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/PanelInspector.java,L2190,17,0,268,0,0,1,0,0
52,L2202,ReTileAction.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/ReTileAction.java,L2190,6,0,51,0,0,1,0,0
53,L2203,WindowChangeGridSizeAction.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/WindowChangeGridSizeAction.java,L2190,1,0,11,0,0,1,0,0
54,L2204,WindowChangeSnapAction.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/WindowChangeSnapAction.java,L2190,1,0,11,0,0,1,0,0
55,L2205,WindowReTileAction.java,canvas/src/main/java/gov/nasa/arc/mct/canvas/view/WindowReTileAction.java,L2190,1,0,14,0,0,1,0,0
56,L5495,ConstraintBuilder.java,canvas/src/main/java/gov/nasa/arc/mct/gui/util/ConstraintBuilder.java,L5494,2,0,141,0,0,1,0,0
57,L5496,MCTSplitPaneFactory.java,canvas/src/main/java/gov/nasa/arc/mct/gui/util/MCTSplitPaneFactory.java,L5494,4,0,37,0,0,1,0,0
58,L129,CanvasActivatorTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/CanvasActivatorTest.java,L128,1,0,50,0,0,1,0,0
59,L130,ComponentRegistryAccessTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/ComponentRegistryAccessTest.java,L128,1,0,22,0,0,1,0,0
60,L131,PolicyManagerAccessTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/PolicyManagerAccessTest.java,L128,1,0,22,0,0,1,0,0
61,L14506,GridMenuTest.java,canvas/src/test/java/gov/nasa/arc/mct/menu/GridMenuTest.java,L14505,1,0,56,0,0,1,0,0
62,L325,CanvasLayoutManagerTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/layout/CanvasLayoutManagerTest.java,L324,1,0,113,0,0,1,0,0
63,L596,PanelBorderTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/panel/PanelBorderTest.java,L595,1,0,29,0,0,1,0,0
64,L1663,AbstractMCTViewManifestationInfoTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/persistence/AbstractMCTViewManifestationInfoTest.java,L1662,1,0,45,0,0,1,0,0
65,L1664,RootCanvasClassTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/persistence/RootCanvasClassTest.java,L1662,2,0,25,0,0,1,0,0
66,L1933,TestEmbeddedViewsNotWriteable.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/policy/TestEmbeddedViewsNotWriteable.java,L1932,1,0,28,1,70,2,0,0
67,L2207,CanvasFormattingControllerTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/view/CanvasFormattingControllerTest.java,L2206,32,0,882,0,0,1,0,0
68,L2208,CanvasFormattingControlPanelTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/view/CanvasFormattingControlPanelTest.java,L2206,3,0,229,1,70,2,0,0
69,L2209,CanvasRemoveComponentUpdateTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/view/CanvasRemoveComponentUpdateTest.java,L2206,1,0,63,0,0,1,0,0
70,L2210,MarqueSelectionListenerTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/view/MarqueSelectionListenerTest.java,L2206,2,0,110,0,0,1,0,0
71,L2211,PanelBorderSelectionTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/view/PanelBorderSelectionTest.java,L2206,6,0,245,0,0,1,0,0
72,L2212,PanelFocusTraversalPolicyTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/view/PanelFocusTraversalPolicyTest.java,L2206,1,0,60,0,0,1,0,0
73,L2213,PanelInspectorTest.java,canvas/src/test/java/gov/nasa/arc/mct/canvas/view/PanelInspectorTest.java,L2206,11,0,74,0,0,1,0,0
74,L5407,ContextAwareAction.java,mctcore/src/main/java/gov/nasa/arc/mct/gui/ContextAwareAction.java,L5402,1,0,25,1,70,1,0,0
75,L5413,FileChooser.java,mctcore/src/main/java/gov/nasa/arc/mct/gui/FileChooser.java,L5402,3,0,89,0,0,1,0,0
76,L5416,MCTMutableTreeNode.java,mctcore/src/main/java/gov/nasa/arc/mct/gui/MCTMutableTreeNode.java,L5402,15,0,154,1,70,1,0,0
77,L5422,OptionBox.java,mctcore/src/main/java/gov/nasa/arc/mct/gui/OptionBox.java,L5402,7,0,72,1,70,3,0,0
78,L5430,View.java,mctcore/src/main/java/gov/nasa/arc/mct/gui/View.java,L5402,23,0,336,1,70,1,0,0
79,L29708,AbstractComponent.java,mctcore/src/main/java/gov/nasa/arc/mct/components/AbstractComponent.java,L29707,66,0,619,3,590,15,0,0
80,L29713,FeedProvider.java,mctcore/src/main/java/gov/nasa/arc/mct/components/FeedProvider.java,L29707,1,0,123,3,70,5,0,0
81,L30596,GlobalContext.java,mctcore/src/main/java/gov/nasa/arc/mct/context/GlobalContext.java,L30595,3,0,40,1,70,1,0,0
82,L32163,PolicyInfo.java,mctcore/src/main/java/gov/nasa/arc/mct/policy/PolicyInfo.java,L32158,1,0,36,1,70,1,0,0
83,L32289,ExternalComponentRegistryImpl.java,mctcore/src/main/java/gov/nasa/arc/mct/registry/ExternalComponentRegistryImpl.java,L32288,25,0,244,1,70,2,0,0
84,L33888,BatchLoader.java,mctcore/src/main/java/gov/nasa/arc/mct/util/BatchLoader.java,L33887,1,0,16,2,590,4,0,0
85,L33889,BatchLoaderImpl.java,mctcore/src/main/java/gov/nasa/arc/mct/util/BatchLoaderImpl.java,L33887,74,0,549,2,590,4,0,0
86,L33893,ParameterInfo.java,mctcore/src/main/java/gov/nasa/arc/mct/util/ParameterInfo.java,L33887,5,0,30,2,590,4,0,0
87,L33894,PersistedTaxonomyInfo.java,mctcore/src/main/java/gov/nasa/arc/mct/util/PersistedTaxonomyInfo.java,L33887,1,0,46,2,590,4,0,0
88,L5498,GUIUtil.java,mctcore/src/main/java/gov/nasa/arc/mct/gui/util/GUIUtil.java,L5497,2,0,19,1,70,1,0,0
89,L29680,OptimisticLockException.java,mctcore/src/main/java/gov/nasa/arc/mct/api/persistence/OptimisticLockException.java,L29679,1,0,7,1,70,1,0,0
90,L29681,package-info.java,mctcore/src/main/java/gov/nasa/arc/mct/api/persistence/package-info.java,L29679,1,0,1,1,70,1,0,0
91,L29682,PersistenceService.java,mctcore/src/main/java/gov/nasa/arc/mct/api/persistence/PersistenceService.java,L29679,1,0,9,2,590,4,0,0
92,L30039,CollectionComponent.java,mctcore/src/main/java/gov/nasa/arc/mct/components/collection/CollectionComponent.java,L30038,1,0,4,1,70,1,0,0
93,L31376,package-info.java,mctcore/src/main/java/gov/nasa/arc/mct/lock/manager/package-info.java,L31374,1,0,1,1,70,1,0,0
94,L31398,DefaultComponentProvider.java,mctcore/src/main/java/gov/nasa/arc/mct/platform/spi/DefaultComponentProvider.java,L31397,1,0,5,0,0,1,0,0
95,L31400,PersistenceProvider.java,mctcore/src/main/java/gov/nasa/arc/mct/platform/spi/PersistenceProvider.java,L31397,1,0,25,2,70,6,0,0
96,L31401,Platform.java,mctcore/src/main/java/gov/nasa/arc/mct/platform/spi/Platform.java,L31397,1,0,30,1,70,1,0,0
97,L31403,RoleAccess.java,mctcore/src/main/java/gov/nasa/arc/mct/platform/spi/RoleAccess.java,L31397,14,0,70,1,70,1,0,0
98,L32710,TimeService.java,mctcore/src/main/java/gov/nasa/arc/mct/services/activity/TimeService.java,L32708,1,0,16,3,70,5,0,0
99,L32749,ComponentRegistry.java,mctcore/src/main/java/gov/nasa/arc/mct/services/component/ComponentRegistry.java,L32745,1,0,8,1,70,1,0,0
100,L32761,StatusAreaWidgetInfo.java,mctcore/src/main/java/gov/nasa/arc/mct/services/component/StatusAreaWidgetInfo.java,L32745,3,0,19,1,70,1,0,0
101,L33080,ComponentInitializer.java,mctcore/src/main/java/gov/nasa/arc/mct/services/internal/component/ComponentInitializer.java,L33079,1,0,20,2,70,8,0,0
102,L33081,CoreComponentRegistry.java,mctcore/src/main/java/gov/nasa/arc/mct/services/internal/component/CoreComponentRegistry.java,L33079,1,0,12,1,70,1,0,0
103,L33084,Updatable.java,mctcore/src/main/java/gov/nasa/arc/mct/services/internal/component/Updatable.java,L33079,1,0,13,2,70,8,0,0
104,L33085,User.java,mctcore/src/main/java/gov/nasa/arc/mct/services/internal/component/User.java,L33079,2,0,20,1,70,1,0,0
105,L5442,ExtendedPropertiesTest.java,mctcore/src/test/java/gov/nasa/arc/mct/gui/ExtendedPropertiesTest.java,L5440,1,0,38,1,70,1,0,0
106,L5443,FeedCycleRendererTest.java,mctcore/src/test/java/gov/nasa/arc/mct/gui/FeedCycleRendererTest.java,L5440,2,0,148,1,70,1,0,0
107,L5445,FeedViewManifestationTest.java,mctcore/src/test/java/gov/nasa/arc/mct/gui/FeedViewManifestationTest.java,L5440,15,0,367,3,70,5,0,0
108,L5446,TestControlWrapper.java,mctcore/src/test/java/gov/nasa/arc/mct/gui/TestControlWrapper.java,L5440,1,0,118,1,70,1,0,0
109,L5447,TestMCTMutableTreeNode.java,mctcore/src/test/java/gov/nasa/arc/mct/gui/TestMCTMutableTreeNode.java,L5440,4,0,175,1,70,1,0,0
110,L29723,AbstractComponentTest.java,mctcore/src/test/java/gov/nasa/arc/mct/components/AbstractComponentTest.java,L29722,2,0,154,2,590,8,0,0
111,L30599,GlobalContextTest.java,mctcore/src/test/java/gov/nasa/arc/mct/context/GlobalContextTest.java,L30598,5,0,67,1,70,1,0,0
112,L32292,MockComponentRegistry.java,mctcore/src/test/java/gov/nasa/arc/mct/registry/MockComponentRegistry.java,L32291,3,0,46,1,70,1,0,0
113,L32293,TestExternalComponentRegistryImpl.java,mctcore/src/test/java/gov/nasa/arc/mct/registry/TestExternalComponentRegistryImpl.java,L32291,1,0,209,1,70,1,0,0
114,L5501,MockComponent.java,mctcore/src/test/java/gov/nasa/arc/mct/gui/util/MockComponent.java,L5500,1,0,13,1,70,1,0,0
115,L5502,TestGUIUtil.java,mctcore/src/test/java/gov/nasa/arc/mct/gui/util/TestGUIUtil.java,L5500,1,0,63,2,70,4,0,0
116,L31410,RoleAccessTest.java,mctcore/src/test/java/gov/nasa/arc/mct/platform/spi/RoleAccessTest.java,L31408,1,0,40,1,70,1,0,0
117,L5457,TestDropBoxCanvas.java,mctCoreTaxonomyProvider/src/test/java/gov/nasa/arc/mct/gui/TestDropBoxCanvas.java,L5456,6,0,93,2,70,4,0,0
118,L35935,BrokenComponentTest.java,mctCoreTaxonomyProvider/src/test/java/gov/nasa/arc/mct/core/components/BrokenComponentTest.java,L35934,3,0,51,1,70,1,0,0
119,L36017,CanDeleteComponentPolicyTest.java,mctCoreTaxonomyProvider/src/test/java/gov/nasa/arc/mct/core/policy/CanDeleteComponentPolicyTest.java,L36016,1,0,56,1,70,1,0,0
120,L36584,Activator.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/coreTaxonomyProvider/Activator.java,L36583,1,0,31,1,70,1,0,0
121,L35927,BrokenComponent.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/components/BrokenComponent.java,L35926,1,0,8,1,70,1,0,0
122,L35930,TelemetryDataTaxonomyComponent.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/components/TelemetryDataTaxonomyComponent.java,L35926,1,0,9,1,70,1,0,0
123,L35931,TelemetryDisciplineComponent.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/components/TelemetryDisciplineComponent.java,L35926,2,0,17,1,70,1,0,0
124,L35932,TelemetryUserDropBoxComponent.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/components/TelemetryUserDropBoxComponent.java,L35926,1,0,10,1,70,1,0,0
125,L36000,AllCannotBeInspectedPolicy.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/AllCannotBeInspectedPolicy.java,L35999,4,0,21,1,70,1,0,0
126,L36001,CanDeleteComponentPolicy.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/CanDeleteComponentPolicy.java,L35999,3,0,25,1,70,1,0,0
127,L36004,CantDuplicateDropBoxesPolicy.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/CantDuplicateDropBoxesPolicy.java,L35999,2,0,16,1,70,1,0,0
128,L36007,CheckComponentOwnerIsUserPolicy.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/CheckComponentOwnerIsUserPolicy.java,L35999,4,0,17,1,70,1,0,0
129,L36010,DropboxFilterViewPolicy.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/DropboxFilterViewPolicy.java,L35999,10,0,45,1,70,1,0,0
130,L36011,LeafCannotAddChildDetectionPolicy.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/LeafCannotAddChildDetectionPolicy.java,L35999,1,0,13,1,70,1,0,0
131,L36244,CoreComponentProvider.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/provider/CoreComponentProvider.java,L36243,4,0,120,1,70,2,0,0
132,L36245,CoreComponentProviderDelegate.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/provider/CoreComponentProviderDelegate.java,L36243,6,0,85,1,70,1,0,0
133,L36343,DropboxCanvasView.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/roles/DropboxCanvasView.java,L36341,11,0,120,1,70,2,0,0
134,L36344,UsersManifestation.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/roles/UsersManifestation.java,L36341,5,0,144,1,70,1,0,0
135,L36345,UsersPage.java,mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/roles/UsersPage.java,L36341,4,0,69,1,70,1,0,0
136,L31387,PlatformImpl.java,platform/src/main/java/gov/nasa/arc/mct/platform/PlatformImpl.java,L31385,7,0,141,0,0,1,0,0
137,L31391,Startup.java,platform/src/main/java/gov/nasa/arc/mct/platform/Startup.java,L31385,9,0,243,0,0,1,0,0
138,L37177,DefaultExceptionHandler.java,platform/src/main/java/gov/nasa/arc/mct/exception/DefaultExceptionHandler.java,L37176,6,0,54,1,70,1,0,0
139,L36665,InfoView.java,platform/src/main/java/gov/nasa/arc/mct/defaults/view/InfoView.java,L36663,41,0,560,1,70,1,0,0
140,L36667,MCTHousingViewManifestation.java,platform/src/main/java/gov/nasa/arc/mct/defaults/view/MCTHousingViewManifestation.java,L36663,23,0,252,1,70,1,0,0
141,L36668,NodeViewManifestation.java,platform/src/main/java/gov/nasa/arc/mct/defaults/view/NodeViewManifestation.java,L36663,35,0,246,2,590,3,0,0
142,L36672,TestDefaultNodeView.java,platform/src/test/java/gov/nasa/arc/mct/defaults/view/TestDefaultNodeView.java,L36670,1,0,151,1,590,3,0,0
143,L14926,CollectionComponentProvider.java,collectionComponent/src/main/java/gov/nasa/arc/mct/collection/CollectionComponentProvider.java,L14925,1,0,27,0,0,1,0,0
144,L14927,package-info.java,collectionComponent/src/main/java/gov/nasa/arc/mct/collection/package-info.java,L14925,1,0,1,0,0,1,0,0
145,L14930,ComponentRegistryAccess.java,collectionComponent/src/main/java/gov/nasa/arc/mct/collection/access/ComponentRegistryAccess.java,L14929,1,0,16,0,0,1,0,0
146,L14931,package-info.java,collectionComponent/src/main/java/gov/nasa/arc/mct/collection/access/package-info.java,L14929,1,0,1,0,0,1,0,0
147,L14932,PolicyManagerAccess.java,collectionComponent/src/main/java/gov/nasa/arc/mct/collection/access/PolicyManagerAccess.java,L14929,1,0,15,0,0,1,0,0
148,L14993,InternalDBPersistenceAccess.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/access/InternalDBPersistenceAccess.java,L14992,1,0,15,1,70,1,0,0
149,L15010,ComponentSpec.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/ComponentSpec.java,L15009,7,0,180,2,70,8,0,0
150,L15011,DatabaseIdentification.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/DatabaseIdentification.java,L15009,7,0,70,1,70,1,0,0
151,L15012,Disciplines.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/Disciplines.java,L15009,7,0,77,1,70,1,0,0
152,L15013,MctUsers.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/MctUsers.java,L15009,7,0,78,1,70,1,0,0
153,L15014,Tag.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/Tag.java,L15009,7,0,69,1,70,1,0,0
154,L15015,TagAssociation.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/TagAssociation.java,L15009,7,0,68,1,70,1,0,0
155,L15016,TagAssociationPK.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/TagAssociationPK.java,L15009,12,0,53,1,70,1,0,0
156,L15017,ViewState.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/ViewState.java,L15009,7,0,59,2,70,6,0,0
157,L15018,ViewStatePK.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/dao/ViewStatePK.java,L15009,12,0,53,1,70,1,0,0
158,L15472,DBPersistenceProvider.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/provider/DBPersistenceProvider.java,L15471,1,0,10,1,70,1,0,0
159,L15483,DatabaseSearchProvider.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/search/DatabaseSearchProvider.java,L15482,1,0,14,1,70,1,0,0
160,L15484,DatabaseSearchUI.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/search/DatabaseSearchUI.java,L15482,15,0,230,2,590,4,0,0
161,L15485,QueryResult.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/search/QueryResult.java,L15482,1,0,16,1,70,1,0,0
162,L15722,PersistenceServiceImpl.java,databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/service/PersistenceServiceImpl.java,L15721,83,0,774,2,590,17,0,0
163,L15027,TestComponentSpec.java,databasePersistence/src/test/java/gov/nasa/arc/mct/dbpersistence/dao/TestComponentSpec.java,L15026,11,0,159,1,70,1,0,0
164,L15028,TestDAOClasses.java,databasePersistence/src/test/java/gov/nasa/arc/mct/dbpersistence/dao/TestDAOClasses.java,L15026,10,0,50,1,70,1,0,0
165,L15487,TestDatabaseSearchUI.java,databasePersistence/src/test/java/gov/nasa/arc/mct/dbpersistence/search/TestDatabaseSearchUI.java,L15486,2,0,105,1,70,1,0,0
166,L15724,TestPersistenceServiceImpl.java,databasePersistence/src/test/java/gov/nasa/arc/mct/dbpersistence/service/TestPersistenceServiceImpl.java,L15723,20,0,364,2,70,9,0,0
167,L16204,GraphicalComponentProvider.java,dynamicGraphics/src/main/java/gov/nasa/arc/mct/graphics/GraphicalComponentProvider.java,L16203,1,0,49,0,0,1,0,0
168,L16205,GraphicalStringPolicy.java,dynamicGraphics/src/main/java/gov/nasa/arc/mct/graphics/GraphicalStringPolicy.java,L16203,4,0,27,0,0,1,0,0
169,L16206,GraphicalViewPolicy.java,dynamicGraphics/src/main/java/gov/nasa/arc/mct/graphics/GraphicalViewPolicy.java,L16203,3,0,29,0,0,1,0,0
170,L16218,Brush.java,dynamicGraphics/src/main/java/gov/nasa/arc/mct/graphics/brush/Brush.java,L16217,2,0,21,0,0,1,0,0
171,L16219,ClippedFill.java,dynamicGraphics/src/main/java/gov/nasa/arc/mct/graphics/brush/ClippedFill.java,L16217,9,0,62,0,0,1,0,0
